"semiotic","input","output"
"PLAIN","Retrieved","<self>"
"DATE","19 December 2014","the nineteenth of december twenty fourteen"
"PUNCT",".","sil"
"<eos>","<eos>",""
"PLAIN","In","<self>"
"DATE","2010","twenty ten"
"PLAIN","Sadovyi","<self>"
"PLAIN","was","<self>"
"PLAIN","reelected","<self>"
"PLAIN","for","<self>"
"PLAIN","the","<self>"
"PLAIN","office","<self>"
"PLAIN","of","<self>"
"PLAIN","mayor","<self>"
"PUNCT",".","sil"
"<eos>","<eos>",""
"PUNCT","""","sil"
"PLAIN","I'm","<self>"
"PLAIN","saying","<self>"
"PLAIN","in","<self>"
"PLAIN","the","<self>"
"PLAIN","song","<self>"
"PLAIN","that","<self>"
"PLAIN","I'm","<self>"
"PLAIN","giving","<self>"
"PLAIN","my","<self>"
"PLAIN","back","<self>"
"PLAIN","to","<self>"
"PLAIN","them","<self>"
"PUNCT",".","sil"
"<eos>","<eos>",""
"PLAIN","The","<self>"
"PLAIN","boy","<self>"
"PLAIN","wished","<self>"
"PLAIN","to","<self>"
"PLAIN","go","<self>"
"PLAIN","home","<self>"
"PUNCT",".","sil"
"<eos>","<eos>",""
"PLAIN","The","<self>"
"PLAIN","rest","<self>"
"PLAIN","were","<self>"
"PLAIN","sent","<self>"
"PLAIN","to","<self>"
"PLAIN","Auschwitz","<self>"
"PLAIN","in","<self>"
"DATE","October 1942","october nineteen forty two"
"PUNCT",".","sil"
"<eos>","<eos>",""
"PLAIN","Then","<self>"
"PLAIN","he","<self>"
"PLAIN","worked","<self>"
"PLAIN","as","<self>"
"PLAIN","a","<self>"
"PLAIN","huntsman","<self>"
"PLAIN","for","<self>"
"PLAIN","his","<self>"
"PLAIN","own","<self>"
"PLAIN","father","<self>"
"PUNCT",".","sil"
"<eos>","<eos>",""
